CT,Site,Latitude,Longitude,forest_d,forest_g,forest_a,sec_veg,crops,d_streams
18(1),Arauquita,6.90886,-71.227039,2.3472296460788695,0,35.46953100746945,54.962316542197996,0,3899.4
18(2),Arauquita,6.90886,-71.227039,2.3472296460788695,0,35.46953100746945,54.962316542197996,0,3899.4
27(1),Arauquita,6.899871,-71.269873,70.05349681488649,0,0,92.68879429302737,0,6344.1
27(2),Arauquita,6.899871,-71.269873,70.05349681488649,0,0,92.68879429302737,0,6344.1
28(1),Arauquita,6.896005,-71.258424,4.047753588503599,0,31.424706008176877,89.89963035468429,0,6806.5
28(2),Arauquita,6.896005,-71.258424,4.047753588503599,0,31.424706008176877,89.89963035468429,0,6806.5
28(3),Arauquita,6.895917,-71.257124,5.922279756528139,0,43.31591439653409,89.3250590729341,0,6739.1
28(4),Arauquita,6.895917,-71.257124,5.922279756528139,0,43.31591439653409,89.3250590729341,0,6739.1
28(5),Arauquita,6.899837,-71.254953,25.35789948082566,0,19.113753057465143,79.68863171548433,0,6243.4
37(1),Arauquita,6.890165,-71.246775,0,0,131.39172674899166,110.86865303167923,0,6816.9
37(2),Arauquita,6.890165,-71.246775,0,0,131.39172674899166,110.86865303167923,0,6816.9
ARA_CT23 08/15/2023,Cravo Norte,6.091253,-69.869882,94.45205235178054,0,0,0,0,NA
ARA_CT26 08/15/2023,Cravo Norte,6.048979,-69.879221,70.02751840492252,0,0,0,0,NA
CT-Danta I-1-1,Puerto RondÃ³n,6.4911111,-70.6829167,194.40180639074376,0,0,0,0,NA
CT-Danta I-1-10,Puerto RondÃ³n,6.5101944,-70.7516389,236.21418054347652,0,0,0,0,NA
CT-Danta I-1-2,Puerto RondÃ³n,6.524,-70.8014167,182.67953243315554,5.950499091928359,0,0,0,NA
CT-Danta I-1-22,Cumaribo,5.1150556,-70.0151111,0,57.72403832738764,0,0,0,15444.3
CT-Danta I-1-23,Cumaribo,5.1971111,-70.1142222,0,50.48094370162661,0,0,0,7574.1
CT-Danta I-1-24,Cumaribo,5.1219444,-70.9999444,0,0,0,0,0,4942.9
CT-Danta I-1-25,Cumaribo,5.1755833,-70.1468889,0,54.944356912554426,0,0,0,9456.2
