CT;Date;Time_of_Day;Site;forest_d;forest_g;forest_a;sec_veg;savanna;crops;pasture;d_river;d_streams;d_roads;d_crops;Datetime;Hour;HourRadians
18(1);2021-09-06;21:23:22;Arauquita;0;0;18.88957;17.543259;0;0;87.072323;0;551.94;286.09;2246.1905;2021-09-06 21:23:22;21.38944444;5.599743461
18(1);2021-09-06;21:23:23;Arauquita;0;0;18.88957;17.543259;0;0;87.072323;0;551.94;286.09;2246.1905;2021-09-06 21:23:23;21.38972222;5.599816183
18(1);2021-09-06;21:23:24;Arauquita;0;0;18.88957;17.543259;0;0;87.072323;0;551.94;286.09;2246.1905;2021-09-06 21:23:24;21.39;5.599888905
18(1);2021-09-06;21:23:25;Arauquita;0;0;18.88957;17.543259;0;0;87.072323;0;551.94;286.09;2246.1905;2021-09-06 21:23:25;21.39027778;5.599961627
18(1);2021-09-08;02:02:28;Arauquita;0;0;18.88957;17.543259;0;0;87.072323;0;551.94;286.09;2246.1905;2021-09-08 02:02:28;2.041111111;0.534361639
18(1);2021-09-08;02:02:29;Arauquita;0;0;18.88957;17.543259;0;0;87.072323;0;551.94;286.09;2246.1905;2021-09-08 02:02:29;2.041388889;0.534434361
18(1);2021-09-24;00:15:54;Arauquita;0;0;18.88957;17.543259;0;0;87.072323;0;551.94;286.09;2246.1905;2021-09-24 00:15:54;0.265;0.069376838
18(1);2021-09-24;00:15:56;Arauquita;0;0;18.88957;17.543259;0;0;87.072323;0;551.94;286.09;2246.1905;2021-09-24 00:15:56;0.265555556;0.069522282
18(2);2021-09-04;16:32:09;Arauquita;0;0;0.906557;27.366263;0;0;95.008919;0;1081.938165;295.407462;2137.536387;2021-09-04 16:32:09;16.53583333;4.329071043
18(2);2021-09-04;16:32:10;Arauquita;0;0;0.906557;27.366263;0;0;95.008919;0;1081.938165;295.407462;2137.536387;2021-09-04 16:32:10;16.53611111;4.329143765
18(2);2021-09-04;16:32:11;Arauquita;0;0;0.906557;27.366263;0;0;95.008919;0;1081.938165;295.407462;2137.536387;2021-09-04 16:32:11;16.53638889;4.329216488
18(2);2021-09-04;16:32:40;Arauquita;0;0;0.906557;27.366263;0;0;95.008919;0;1081.938165;295.407462;2137.536387;2021-09-04 16:32:40;16.54444444;4.331325427
18(2);2021-09-06;21:22:43;Arauquita;0;0;0.906557;27.366263;0;0;95.008919;0;1081.938165;295.407462;2137.536387;2021-09-06 21:22:43;21.37861111;5.596907301
18(2);2021-09-06;21:22:45;Arauquita;0;0;0.906557;27.366263;0;0;95.008919;0;1081.938165;295.407462;2137.536387;2021-09-06 21:22:45;21.37916667;5.597052745
18(2);2021-09-07;03:34:47;Arauquita;0;0;0.906557;27.366263;0;0;95.008919;0;1081.938165;295.407462;2137.536387;2021-09-07 03:34:47;3.579722222;0.937169086
18(2);2021-09-07;03:34:48;Arauquita;0;0;0.906557;27.366263;0;0;95.008919;0;1081.938165;295.407462;2137.536387;2021-09-07 03:34:48;3.58;0.937241808
18(2);2021-09-07;03:34:49;Arauquita;0;0;0.906557;27.366263;0;0;95.008919;0;1081.938165;295.407462;2137.536387;2021-09-07 03:34:49;3.580277778;0.93731453
18(2);2021-09-08;02:01:07;Arauquita;0;0;0.906557;27.366263;0;0;95.008919;0;1081.938165;295.407462;2137.536387;2021-09-08 02:01:07;2.018611111;0.528471153
18(2);2021-09-08;02:01:08;Arauquita;0;0;0.906557;27.366263;0;0;95.008919;0;1081.938165;295.407462;2137.536387;2021-09-08 02:01:08;2.018888889;0.528543875
18(2);2021-09-08;02:01:09;Arauquita;0;0;0.906557;27.366263;0;0;95.008919;0;1081.938165;295.407462;2137.536387;2021-09-08 02:01:09;2.019166667;0.528616597
