"CT","Site","peak_hour"
"Arauquita_18(2)","Arauquita",1.39478957915832
"Arauquita_27(1)","Arauquita",1.39478957915832
"Arauquita_37(2)","Arauquita",1.87575150300601
"Arauquita_37(1)","Arauquita",3.12625250501002
"Arauquita_28(2)","Arauquita",4.13627254509018
"Arauquita_18(1)","Arauquita",4.32865731462926
"Arauquita_28(1)","Arauquita",4.37675350701403
"Arauquita_28(3)","Arauquita",4.47294589178357
"Arauquita_28(4)","Arauquita",5.57915831663327
"Arauquita_27(2)","Arauquita",6.06012024048096
"Arauquita_28(5)","Arauquita",6.06012024048096
"Bita_CT-DantaPVS-1-6","Bita",1.39478957915832
"Bita_CT-DantaPVS-1-3","Bita",1.53907815631263
"Bita_CT-DantaPVS-1-19","Bita",1.63527054108216
"Bita_CT-DantaPVS-1-27","Bita",2.45290581162325
"Bita_CT-DantaPVS-1-28","Bita",2.64529058116232
"Bita_CT-DantaPVS-1-1","Bita",2.93386773547094
"Bita_CT-DantaPVS-1-20","Bita",5.24248496993988
"Bita_CT-DantaPVS-1-13","Bita",5.72344689378757
"Bita_CT-DantaPVS-1-23","Bita",5.77154308617234
"Bita_CT-DantaPVS-1-16","Bita",6.39679358717435
"Bita_CT-DantaPVS-1-29","Bita",6.44488977955912
"Cravo.Norte_CTCIN14_T.terrestris_29042016","Cravo.Norte",2.2124248496994
"Cravo.Norte_CTCIN13_T.terrestris_29042016","Cravo.Norte",2.45290581162325
"Cravo.Norte_CTCIN14_T.terrestris_25042016_1","Cravo.Norte",2.69338677354709
"Cravo.Norte_CTCIN13_T.terrestris_25042016_1","Cravo.Norte",2.74148296593186
"Cravo.Norte_CTCIN24_T.terrestris_05052016","Cravo.Norte",3.17434869739479
"Cravo.Norte_CTCIN33_T.terrestris_22042016","Cravo.Norte",3.27054108216433
"Cravo.Norte_CTCIN14_T.terrestris_22042016_1","Cravo.Norte",3.36673346693387
"Cravo.Norte_CTCIN14_T.terrestris_22042016_2","Cravo.Norte",3.51102204408818
"Cravo.Norte_CTCIN14_T.terrestris_25042016_2","Cravo.Norte",3.99198396793587
"Cravo.Norte_CTCIN36_T.terrestris_29042016","Cravo.Norte",4.18436873747495
"Cravo.Norte_CTCIN13_T.terrestris_25042016_2","Cravo.Norte",4.23246492985972
"Cravo.Norte_CTCIN22_T.terrestris_29042016","Cravo.Norte",4.23246492985972
"Cravo.Norte_CTCIN11_T.terrestris_26042016","Cravo.Norte",4.28056112224449
"Cravo.Norte_CTCIN07_T.terrestris_21042016","Cravo.Norte",4.47294589178357
"Cravo.Norte_CTCIN03_T.terrestris_30042016","Cravo.Norte",4.52104208416834
"Cravo.Norte_CTCIN24_T.terrestris_23042016_1","Cravo.Norte",4.61723446893788
"Cravo.Norte_CTCIN08_T.terrestris_21042016","Cravo.Norte",4.66533066132265
"Cravo.Norte_CTCIN13_T.terrestris_28042016_1","Cravo.Norte",4.66533066132265
"Cravo.Norte_CTCIN13_T.terrestris_22042016_2","Cravo.Norte",4.71342685370742
"Cravo.Norte_CTCIN14_T.terrestris_28042016","Cravo.Norte",4.76152304609218
"Cravo.Norte_CTCIN24_T.terrestris_23042016_2","Cravo.Norte",4.76152304609218
"Cravo.Norte_CTCIN13_T.terrestris_22042016_1","Cravo.Norte",4.80961923847695
"Cumaribo_CT07","Cumaribo",2.2124248496994
"Cumaribo_CT10","Cumaribo",2.30861723446894
"Cumaribo_CT04","Cumaribo",2.59719438877756
"Cumaribo_CT23","Cumaribo",2.69338677354709
"Cumaribo_CT26","Cumaribo",2.74148296593186
"Cumaribo_CT15","Cumaribo",2.78957915831663
"Cumaribo_CT24","Cumaribo",2.8376753507014
"Cumaribo_CT02","Cumaribo",2.88577154308617
"Cumaribo_CT03","Cumaribo",2.88577154308617
