"site1","site2","P_mu1_lt_mu2"
"Arauquita","Bita",0.340575
"Arauquita","Cravo.Norte",0.933575
"Arauquita","Cumaribo",0.1998
"Arauquita","Puerto.Gaitán",0.791175
"Arauquita","Puerto.Rondón",0.37965
"Bita","Cravo.Norte",0.977025
"Bita","Cumaribo",0.2732375
"Bita","Puerto.Gaitán",0.932
"Bita","Puerto.Rondón",0.537925
"Cravo.Norte","Cumaribo",0.010775
"Cravo.Norte","Puerto.Gaitán",0.1889
"Cravo.Norte","Puerto.Rondón",0.0252625
"Cumaribo","Puerto.Gaitán",0.981025
"Cumaribo","Puerto.Rondón",0.72425
"Puerto.Gaitán","Puerto.Rondón",0.0899125
