"Site","HourBin","count","prop","midHour"
"Arauquita",0,9,0.102272727272727,0.5
"Arauquita",1,7,0.0795454545454545,1.5
"Arauquita",2,14,0.159090909090909,2.5
"Arauquita",3,3,0.0340909090909091,3.5
"Arauquita",4,11,0.125,4.5
"Arauquita",5,8,0.0909090909090909,5.5
"Arauquita",7,3,0.0340909090909091,7.5
"Arauquita",16,4,0.0454545454545455,16.5
"Arauquita",17,4,0.0454545454545455,17.5
"Arauquita",18,4,0.0454545454545455,18.5
"Arauquita",19,6,0.0681818181818182,19.5
"Arauquita",20,2,0.0227272727272727,20.5
"Arauquita",21,6,0.0681818181818182,21.5
"Arauquita",23,7,0.0795454545454545,23.5
"Bita",0,8,0.062992125984252,0.5
"Bita",1,2,0.015748031496063,1.5
"Bita",2,13,0.102362204724409,2.5
"Bita",3,17,0.133858267716535,3.5
"Bita",4,15,0.118110236220472,4.5
"Bita",5,2,0.015748031496063,5.5
"Bita",6,1,0.0078740157480315,6.5
"Bita",13,1,0.0078740157480315,13.5
"Bita",14,2,0.015748031496063,14.5
"Bita",15,2,0.015748031496063,15.5
"Bita",16,4,0.031496062992126,16.5
"Bita",17,5,0.0393700787401575,17.5
"Bita",18,14,0.110236220472441,18.5
"Bita",19,15,0.118110236220472,19.5
"Bita",20,6,0.047244094488189,20.5
"Bita",21,12,0.094488188976378,21.5
"Bita",22,2,0.015748031496063,22.5
"Bita",23,6,0.047244094488189,23.5
"Cravo Norte",3,2,0.0909090909090909,3.5
"Cravo Norte",5,3,0.136363636363636,5.5
"Cravo Norte",10,2,0.0909090909090909,10.5
"Cravo Norte",11,1,0.0454545454545455,11.5
"Cravo Norte",15,2,0.0909090909090909,15.5
"Cravo Norte",16,3,0.136363636363636,16.5
"Cravo Norte",20,2,0.0909090909090909,20.5
"Cravo Norte",21,4,0.181818181818182,21.5
"Cravo Norte",22,1,0.0454545454545455,22.5
"Cravo Norte",23,2,0.0909090909090909,23.5
"Cumaribo",0,3,0.075,0.5
"Cumaribo",2,6,0.15,2.5
"Cumaribo",3,9,0.225,3.5
"Cumaribo",4,3,0.075,4.5
"Cumaribo",5,1,0.025,5.5
"Cumaribo",6,1,0.025,6.5
"Cumaribo",11,1,0.025,11.5
"Cumaribo",17,1,0.025,17.5
"Cumaribo",18,1,0.025,18.5
"Cumaribo",19,3,0.075,19.5
"Cumaribo",20,2,0.05,20.5
"Cumaribo",21,6,0.15,21.5
"Cumaribo",22,1,0.025,22.5
"Cumaribo",23,2,0.05,23.5
"Puerto Gaitan",0,2,0.037037037037037,0.5
"Puerto Gaitan",3,5,0.0925925925925926,3.5
"Puerto Gaitan",4,2,0.037037037037037,4.5
"Puerto Gaitan",5,4,0.0740740740740741,5.5
"Puerto Gaitan",6,2,0.037037037037037,6.5
"Puerto Gaitan",8,4,0.0740740740740741,8.5
"Puerto Gaitan",9,2,0.037037037037037,9.5
"Puerto Gaitan",11,2,0.037037037037037,11.5
"Puerto Gaitan",13,3,0.0555555555555556,13.5
"Puerto Gaitan",14,1,0.0185185185185185,14.5
"Puerto Gaitan",16,2,0.037037037037037,16.5
"Puerto Gaitan",17,4,0.0740740740740741,17.5
"Puerto Gaitan",18,1,0.0185185185185185,18.5
"Puerto Gaitan",19,5,0.0925925925925926,19.5
"Puerto Gaitan",20,5,0.0925925925925926,20.5
"Puerto Gaitan",21,1,0.0185185185185185,21.5
"Puerto Gaitan",22,7,0.12962962962963,22.5
"Puerto Gaitan",23,2,0.037037037037037,23.5
"Puerto Rondon",0,7,0.0583333333333333,0.5
"Puerto Rondon",1,14,0.116666666666667,1.5
"Puerto Rondon",2,6,0.05,2.5
"Puerto Rondon",3,16,0.133333333333333,3.5
"Puerto Rondon",4,8,0.0666666666666667,4.5
"Puerto Rondon",5,10,0.0833333333333333,5.5
"Puerto Rondon",6,2,0.0166666666666667,6.5
"Puerto Rondon",9,2,0.0166666666666667,9.5
"Puerto Rondon",11,2,0.0166666666666667,11.5
"Puerto Rondon",12,2,0.0166666666666667,12.5
"Puerto Rondon",13,2,0.0166666666666667,13.5
"Puerto Rondon",14,2,0.0166666666666667,14.5
"Puerto Rondon",15,5,0.0416666666666667,15.5
"Puerto Rondon",16,2,0.0166666666666667,16.5
"Puerto Rondon",17,6,0.05,17.5
"Puerto Rondon",18,11,0.0916666666666667,18.5
"Puerto Rondon",20,10,0.0833333333333333,20.5
"Puerto Rondon",22,5,0.0416666666666667,22.5
"Puerto Rondon",23,8,0.0666666666666667,23.5
